id,tweet,class,positive_probability,negative_probability,neutral_probability,predicted
1,airway usairway almost hour late flight due mechan,negative,2.3523377791363097e-24,1.5164079060795816e-20,1.1294021403553717e-23,negative
2,delta jetblu _justdippin_ drop new video upcom project thetakeov produc yponthebeat,neutral,1.1430062329073987e-26,2.078653551203687e-27,7.117713743949121e-26,neutral
3,airway usairway nope announc head back gate,negative,5.10418917824604e-21,1.0619679966737868e-20,2.0804507300392386e-22,negative
4,virgin america virginamerica look forward watch oscar flight home tomorrow might even get someth bubbl drink,positive,1.3018972062838232e-44,3.954213499568982e-46,2.169631991739218e-45,positive
5,american americanair mad love nyc,positive,8.064456454540759e-15,4.556492924819769e-15,2.0733812905669637e-14,neutral
6,delta jetblu disappoint allow bring aircraft approv carseat empti plane cool,negative,1.4916717180670618e-33,3.326907710665987e-32,4.4965181732258624e-32,neutral
7,unit unit understood thank tri reach sooner,positive,5.719705688766481e-20,1.8418064095822217e-20,1.3524269532773416e-20,positive
8,airway usairway recent move got new licens book flight month ago use old licens need chang,neutral,5.6408358317428955e-42,1.6766924815652407e-39,1.5701266161041894e-40,negative
9,american americanair tpa ord anoth success journey thank hospit,positive,5.5477972093984865e-24,4.326802052715894e-25,3.86901307507508e-25,positive
10,southwest southwestair give crew swa high five guy nice land bostonlogan nice done,positive,1.8272714930401369e-38,2.9645996163578276e-43,5.75150732599832e-42,positive
11,american americanair pictur taken time right totallyconfus,neutral,7.923295977057605e-18,1.0547268364220374e-17,1.2330545885025057e-18,negative
12,unit unit parryaftab done thnx,positive,1.0502334504195052e-10,5.5506674044496885e-11,1.1681948620839246e-10,neutral
13,delta jetblu everi channel abcnetwork kgonzal suppos watch scandal free flyfi sweet,negative,6.819070711163711e-33,2.800427365880461e-35,1.0353824740980606e-33,positive
14,airway usairway americanair prepar claim bag lost mani valuabl carri hand,negative,1.0961938930559881e-35,1.1677050519747934e-32,9.079342643166186e-36,negative
15,southwest southwestair stuck sju sever hour one answer realli tough luv respons bad,negative,3.4727067936212716e-41,2.499434172553843e-40,1.1204235050646077e-41,negative
16,airway usairway jack_kairi anoth sent wrong line kiosk work thank,negative,6.272384880815439e-23,3.600533928487522e-22,2.5577636708048123e-23,negative
17,american americanair thank updat,positive,7.216284321019045e-10,2.1901808454054306e-10,1.5065843209246054e-10,positive
18,virgin america virginamerica fyi info virginamerica com email address say contact password reset email exist email bounc,negative,2.7543336295253583e-54,2.0561184381229538e-53,9.383314489766343e-50,neutral
19,virgin america virginamerica virgin america fli direct seattl nyc boston,neutral,3.1779923191491093e-29,8.255911686510543e-32,7.490767116952924e-29,neutral
20,southwest southwestair frustrat idea great crew thank happycustom,positive,9.467498714486006e-19,1.0396174791503373e-20,2.2573333510090386e-20,positive
