id,tweet,class
1,americanair need work tomorrow therefor help direct messag faster call number backward,negative
2,southwestair excit perhap could scale excit back week,positive
3,americanair jaynegelman blacklist,neutral
4,unit wait new pilot door plane broke global servic status airlin unsaf stun,negative
5,jetblu safeti first lovejetblu,positive
6,jetblu love fli question one plane call jet,positive
7,unit okay thank,neutral
8,usairway thank much got thru phone amp everyth fine love websit amp app thank work,positive
9,unit delay help notif,negative
10,usairway absolut crap week,negative
11,usairway hold minut count month old chang fee refund request funer pathet,negative
12,jetblu l_burley best,positive
13,americanair guy work never fli guy,negative
14,southwestair despar need yall make nonstop bna tul cmon popular right annebevi paulbev mikeabramson,neutral
15,unit verifi wheelchair assist request next flight,neutral
16,southwestair alway fli loyalrrmemb,positive
17,southwestair miser orlando vega nonstop right big must guest requir seat btw,negative
18,americanair curious thank respons alway good bad better competit,positive
19,americanair would also like say kind move ad point,positive
20,americanair fyi twice tri call someon free thing time call pick hung,negative
21,unit thank offer sort,positive
22,southwestair ___ late flightst make happi fli day bethonor,positive
23,unit perfect thank,positive
24,unit get name dalla flight chicago,neutral
25,unit flight amaz best flight ever kid servic incred,positive
26,virginamerica mood light point_ reclin seat kickin feet__,negative
27,southwestair awesom thank,positive
28,americanair would possibl chang flight websit mani thank,neutral
29,americanair flight cancel flightl need rebook onlin answer call help,negative
30,jetblu cours know would like lay bedofros long mint color brandmanc,positive
31,usairway americanair hold hour yesterday speak agent hold phone min let bash begin,negative
32,americanair wait nitrogen strut airport nozzl calibr tri find anoth,negative
33,jetblu would say delay like thank much,positive
34,southwestair took age one snapchat stori load one one demolish,negative
35,usairway amp americanair flight cancel flightl yesterday delay today rob daughter day grandpar thank,neutral
36,jetblu thank,positive
37,usairway fault polici say least got destin realli,neutral
38,americanair got back eventu rollercoast got airport amp got speak someon thing got fix quick,positive
39,southwestair thank ride chicago kmdw,positive
40,unit thank prompt respons anoth hour enjoy vacat perhap bug app still show,positive
41,virginamerica add pillow instead lie flat seat first class arm race skift,neutral
42,jetblu middl seat sfo bos fun keep get credit would much rather work,negative
43,usairway thank worst custom servic face earth love hrs hold along cancel flightl flight,negative
44,jetblu yes time need one call help chang flight onlin thank,negative
45,unit flight gate tell ray somehow made flight iah wait one,positive
46,unit prioriti iov,positive
