id,tweet,class
1,delta jetblu fleet fleek lol wow,positive
2,virgin america virginamerica first time fli differ rate polici media bag thank,neutral
3,delta jetblu hope next time send futur itinerari next one plan,neutral
4,american americanair chang flight bna ahead weather slam cost diff weather advisori realli,negative
5,airway usairway thank,positive
6,unit unit thank fill luck common,positive
7,unit unit sfo hnl zero entertain system youareonyourown,negative
8,southwest southwestair know suicid second lead caus death among teen,neutral
9,southwest southwestair bring back jackson miss terribl around airlin horribl,positive
10,american americanair done thank much,positive
11,delta jetblu fleet fleek lmao know white person said,neutral
12,american americanair kid gonna take beat apron good lookin plane,positive
13,american americanair check status exp membership card need physic card access intern loung soon,neutral
14,unit unit messag request call baggag team still newark pleas help let know next step,negative
15,unit unit flew back compani sinc unit didnt earlier flight,negative
16,delta jetblu trivia contest win flight question follow amp send answer enter via wsjplus,neutral
17,southwest southwestair jasonwhit flt emer stop albuqu heart condit crew awesom pilot maverick divert,positive
18,delta jetblu awesom bestairlineev,positive
19,airway usairway need corpor offic number pleas deal number,neutral
20,unit unit thank concern contact custom care upon return australia,neutral
21,american americanair thank can respons make look like care custom sure twitter user fall,negative
22,american americanair watch bag abandon depart gate watch min owner return min report,negative
23,unit unit got let log email thx hope dtw ase without issu today,neutral
24,unit unit thank supervisor miriam provid great custom servic final,positive
25,unit unit new plane wifi work entertain non exist new seat serious uncomfort realli unitedfail,negative
26,american americanair joann san diego staff phenomen give girl rais handl flightnightmar better anyon,positive
27,unit unit thank pleas also mention quich breakfast tandoori chicken dinner entre accompani truli first class,positive
28,unit unit found anyth show realis morn flight cancel flightl pricey even,negative
29,delta jetblu mark year blueman plane design,neutral
30,american americanair alway love open upgrad email,positive
31,unit unit thank daughter parti proj weather cond look promis pleas assist earlier flts cmh,positive
32,unit unit cost chang citi origin flight cost customerservicefail,negative
33,unit unit anna palm spring gate deserv medal handl ppl miss flight like pro,positive
34,american americanair ever wonder find respond mani custom complaint twitter airlin suck,negative
35,unit unit annricord cost one round trip ticket,negative
36,unit unit got call bag deliv tonight thank repli,positive
37,delta jetblu got luggag wait min went home right famili ada friend wait long chair,negative
38,delta jetblu ellahenderson omg wish flight today haha alway next time fun lft,positive
39,american americanair may keep lose bag info longer trust bad way handl,negative
40,airway usairway flt land half hour ago singl bag yet baggag claim hate much right,negative
41,airway usairway wife left phone flight awe friday februari upon land minneapoli get back thank,neutral
42,airway usairway afford intern chang fee rebook trip want home turn afford home,negative
43,unit unit news departur flight,neutral
44,southwest southwestair thank final make board pass work passbook,positive
45,unit unit told check soon allow seat avail plane except middl,negative
46,unit unit make flight takeoff time regardless make late flight wait bag baggag claim,negative
47,southwest southwestair flt crew orangecounti denver best weather delay pilot invit kid see cockpit luv,positive
48,unit unit last flight day less drive hour aspen thru snowstorm thx team lack custom empathi,negative
49,delta jetblu look next flyingitforward flier tell fli amp geekandahalf,neutral
50,american americanair get home,negative
51,delta lmao jetblu fleet fleek,neutral
52,american americanair yea worri go home denver fault weather suck bad,neutral
53,airway usairway hey yeah last time got phone call flight cancel flightl dca bos,negative
54,delta jetblu appreci actual respond travel way much tell coffe basic option,negative
55,southwest southwestair fortun flight took time,neutral
56,unit unit yes suppos board meet tomorrow finger cross,negative
57,delta jetblu delay boston today sister tri home bro law tri come rdu crazi,negative
58,virgin america virginamerica sure lot jfk lhr flight lot faster mph strong tailwind,positive
59,delta jetblu know schedul dec releas,neutral
60,unit unit guidelin say bag bit taller guidelin gonna problem,neutral
61,unit unit got lost kindl mail thank,positive
62,southwest southwestair list prefer den dal flight cancel flightl min prior board best option tue afternoon serious epic fail,negative
63,southwest southwestair dresparkl thank final made destin,positive
64,airway usairway hold hour easier way cancel flight get refund,negative
65,unit unit impress far app worth damn sms updat flight,positive
66,american americanair valid circl pacif itinerari book either alway make dest invalid last leg,negative
67,southwest southwestair fortunemagazin fli one right minut,neutral
68,american americanair karen riedel rock star employe miracl worker realli appreci help morn,positive
69,american americanair apolog necessari wind delta xoxo,positive
70,unit unit day flight,neutral
71,unit unit sinc ord ewr delay push meal time mean cater meal first,neutral
72,unit unit flew unit aus austin bergstrom cancun intl best flight ever big small,positive
73,delta jetblu great get buffalo abl leav get jfk issu still buffalo airport,positive
74,unit unit access frankfurt arriv loung fli global first class,neutral
75,airway usairway thank,positive
76,american americanair thank gang mind ask handl social media hous,positive
77,airway usairway told supervisor guarante empti seat standbi passeng flight cancel flightl sell,neutral
78,delta jetblu reserv tomorrow morn tri get back night flight go jfk get list ctg,neutral
79,unit unit assist current flight status flt dfw tomorrow,neutral
80,delta jetblu well make sure never fli jetblu,negative
81,unit unit trade show come awesom deal sunkist webbernatur,neutral
82,unit unit referr program milageplus explor card,neutral
83,airway usairway ch_mom pleas reach crewmemb assist apolog long wait generic,negative
84,american americanair keep air crew chief cousin alex espinosa dfw,positive
85,airway usairway landonschott fine realli like pick seat,positive
86,airway usairway prof_solut prepar hour hold time,negative
87,airway usairway baggag lost last night call airway bag nobodi answer phone badcustomersrvic whereismybag,negative
88,unit unit yes nonstop memphi tomorrow morn snow come got finger cross,neutral
89,unit unit sonyasloanmd happi board pleas share detail done,positive
90,southwest southwestair magazin featur desk plant increas product luvswa healthbenefitsofpl garden,neutral
91,unit unit got zero voucher hotel cab expect serious mileag credit,neutral
92,southwest southwestair got squar away thank man insid help,positive
93,american americanair ahhhh silenc golden top anyon get fire,negative
94,delta jetblu fleet fleek let keep profession,neutral
95,southwest southwestair got mine time wife anniversari,positive
96,airway usairway travel year old would appreci hold end good busi host unanticip layov,negative
97,virgin america virginamerica want see new rout plan year newark love fli guy hope,positive
98,unit unit kept watch safeti video first time forev nice job,positive
99,american americanair pbpinftworth iphon plus,neutral
100,delta jetblu noth prais help ladi make flight chs tonight impress,positive
101,southwest southwestair thank much access destinationdragon tonight thetroubadour imaginedragon cri die ripm,positive
102,airway usairway nah flight next week insid chairman day window still releas last open first seat,negative
103,airway usairway phone call number pick almost immedi,positive
104,southwest southwestair amaz today thank much reason fli southwest,positive
105,airway usairway word whether flight seattl charlott connect held,neutral
106,southwest southwestair travel agent darrel love field host paper airplan contest entertain children awesom see,positive
107,airway usairway raleigh chicago firstclass upgrad must fli screw usair elit bail airlin,negative
108,airway usairway,positive
109,southwest southwestair pit gate big shout ladi tri track,positive
110,delta jetblu awww man need buy ticket today home march assist,neutral
111,american americanair thank got differ flight chicago,positive
112,american americanair remain hold hrs resolv flight schedul amp system hung unhappycustom,negative
113,unit unit stay warm pass chicago next week,positive
114,american americanair kid age need fli intern within usa thank confirm,neutral
115,american americanair make sure insur luggag asshol take fricken respons amp believ lie,negative
116,southwest southwestair look forward beat music avail flight today pretti cool,positive
117,unit unit death famili cannot make flight tomorrow phone rep quot per person fee almost cost ticket help,neutral
118,southwest southwestair got ad thank,positive
119,unit unit gate agent alavera amaz,positive
120,unit dadbon boldflavor unit bring bourbon bold flavor fresh ingredi dine option,positive
121,southwest southwestair want see new rout plan year newark love fli guy hope,positive
122,southwest southwestair frzz,neutral
123,unit unit understand pilot would get plane class empti coach seat near premier,neutral
124,american americanair thank confirm,positive
125,american americanair noth issu alreadi resolv air,positive
126,delta jetblu utah think thank,positive
127,delta jetblu closur peopl need inform passeng send gate gate info board updat departur,negative
128,delta jetblu happi accommod peanut treenut allergi flight onlin cover air provid,positive
129,delta jetblu far worst airlin term servic jfk,negative
130,virgin america virginamerica getaway deal may one way lot cool citi cheapflight farecompar,positive
131,virgin america virginamerica plan includ austin dalla rout topnew arab emir,neutral
132,airway usairway would kill let know mani minut might hold,negative
133,delta jetblu get help hotel book issu,neutral
134,airway usairway thank,positive
135,airway usairway never imagin would hard spend money air stubborn hope someon come back phone,negative
136,delta jetblu allow payment appl pay patriarc,neutral
137,delta jetblu wsj team offer flight access journal content,neutral
138,delta jetblu flight jfk got door open frigid temperatur icyflight,negative
139,delta jetblu know flight deem dark flight,neutral
140,airway usairway great job today team challeng weather delay flight charlott travel friendlyteam,positive
141,southwest southwestair min,neutral
142,virgin america virginamerica hold time call center bit much,negative
143,southwest southwestair intuit jhamilton mom career day trip intuitlif leanin southwestairlin,positive
144,american americanair nrosenb say chang made onlin,negative
145,unit unit staralli gate far though,negative
146,airway usairway refund system,neutral
147,unit unit bag arriv sure miss custom focus day use fli continentalair hope unit wake,negative
148,southwest southwestair get companion pass thank lin,neutral
149,unit unit flight number differ flight head mpls,neutral
150,unit unit thought noth happen,negative
151,unit unit thank help ill complet form back home,positive
152,delta jetblu fleet fleek yasss jetblu tell,positive
153,airway usairway gonna better day call call separ occas past coupl week never get person,negative
154,delta jetblu thank appreci prompt respons,positive
155,unit unit thrill carri check two nasti gate agent see entir empti bin board last,negative
156,southwest southwestair hope flyer get credit sort delay cancel flightlat shittyd notimpress,negative
157,unit unit wonder share insta would produc number charact realli limit stori tell,negative
158,american americanair thank result miss confer attend option book earlier receiv refund,negative
159,american americanair yet call baggag status time yesterday,negative
160,delta jetblu flight love redeem point littl year old histor limit,neutral
161,airway usairway obj_ even airlin scheme get follow obj lmaooo ____,neutral
162,delta jetblu reddit work site ridicul,negative
163,american americanair mex need fli new york citi tomorrow new flight tuesday unaccept pleas help,negative
164,airway usairway thank howev feel like system fail solut,negative
165,airway usairway best follow pleas ______,positive
166,american americanair handl custom need cancel flightl flight number lead quick goodby sad,negative
167,unit unit vusa_australia aussi cowgirl lookin cowboy take fort worth estell say find,neutral
168,southwest southwestair realli enjoy sit bwi door wide open fix baggag error sarcasm,negative
169,delta jetblu thank made,positive
170,airway usairway way get call center answer oneworld award whenev tri system say busi disconnect endless hold,negative
171,airway usairway flight full,neutral
172,unit unit biggest joke compani never fli day wait bag even know,negative
173,unit unit ice tax mayb makestoomuchsens shouldhaveflowndelta unitedsuck delta southwestair americanair,neutral
174,american americanair thank respond rather quick btw,positive
175,delta jetblu check pleas,neutral
176,airway usairway liveri back day,neutral
177,american americanair final call back spoken like worst prank call ever,negative
178,unit unit flight two week lost bag take status americanair neveragain worstcustomerservic,negative
179,virgin america virginamerica ceo say southwest amp jetblu stray low cost model,neutral
180,unit unit thank one delay hour half prior schedul departur,negative
181,southwest southwestair one answer one help alway differ stori fiance help,negative
182,delta brink bankruptci jetblu fleet fleek,neutral
183,southwest southwestair flight octob avail,neutral
184,unit unit hope give feedback bafor flight,neutral
185,delta jetblu would good know month ago cancel flightl flight leav tomorrow telleveryon jetblu neveragain,negative
186,southwest southwestair pull runway make new friend seat mate thank respons,positive
187,airway usairway board yet depart thank respons,positive
188,american americanair pleas,neutral
189,airway usairway make reserv make excus usairwaysfail,negative
190,unit unit flew ord miami back great crew servic leg thank,positive
191,airway usairway worst experi ever,negative
192,southwest southwestair love_dragonss lol sorri see lauren god ahhhh,positive
193,airway usairway thank reach gold div flight chang confirm dnxv,positive
194,delta jetblu total would outsid view even camera readi haha evenmorespac evenmoreview,positive
195,unit unit look delta flight land pilot claim fli jac,negative
196,delta jetblu wsj team offer flight access journal nassau news live,neutral
197,unit unit res fsqthg thank,neutral
198,american americanair dear american hour hold time becom industri standard heard addit staf weather,negative
199,airway usairway look help recov item left airplan even,neutral
200,delta jetblu flight jfk cartagena airport bar sing opposit prais make pact never fli,negative
201,southwest southwestair hey fli tampa denver today want know seat like jetblu,neutral
202,southwest southwestair thank much,positive
203,airway usairway minut mean public transit home expens cab promis make,negative
204,american americanair believ understand flight origin book sunday flight cancel flight reschedul today,positive
205,unit unit custom servic suck hang wait hour talk minut,negative
206,unit unit thx updat,positive
207,unit unit seen messag today mcdonnel dougla model hear read goodnight,neutral
208,unit unit reccewif except everyth ask heh,neutral
209,virgin america virginamerica websit ever come back onlin,neutral
210,airway usairway americanair buy safeti ticket onlin refund whichev ticket unus full without penalti,neutral
211,southwest southwestair pleas follow thx,neutral
212,virgin america virginamerica freddieaward done done best airlin around hand,positive
213,southwest southwestair also said even book flight put hold amp someon els,negative
214,unit unit must follow order send direct messag meant,neutral
215,american americanair way get minut wait book flight,negative
216,southwest bingo southwestair thank bring attent happi reach noah make right,positive
